Codigo;Materia
ARQ1002;DISEÑO ARQUITECTONICO IX
ARQ1002;DISEÑO ARQUITECTONICO IX
PDS04;ECONOMÍA GENERAL
ARQ1003;INFORME DE INVESTIGACION
AET403;ECONOMÍA PARA TOMA DE DECISIONES
ARQ10041;TÉCNICA III
FAI011;ECUACIONES DIFERENCIALES
ARQ10044;ILUMINACION NATURAL
INS0132;EDICIÓN Y PRODUCCIÓN DE VIDEOS
GC512;EDUCACIÓN SOCIAL EN LA INTERVENCIÓN COMUNITARIA
ECS206;EFICIENCIA Y RACIONALIDAD ENERGÉTICA
CC605;EJECUCIÓN DE CERRAMIENTOS
ARQ807;SERVICIO SOCIAL
CC504;EJECUCIÓN DE ESTRUCTURAS
ARQ901;DISEÑO METODOLOGICO
INS0128;EL APORTE DE LAS MUJERES A LAS CIENCIAS EN LATINOAMÉRICA Y EL CARIBE
INS0133;EL FEMINISMO Y LA POSMODERNIDAD
EGR010;ELECTIVA I
ARQA101;ANTROPOLOGÍA
INS009;ELECTIVA I
ARQA102;DISEÑO ARQUITECTÓNICO I: PRINCIPIOS DEL PROYECTO ARQUITECTÓNICO
ARQA102;DISEÑO ARQUITECTÓNICO I: PRINCIPIOS DEL PROYECTO ARQUITECTÓNICO
ARQA102;DISEÑO ARQUITECTÓNICO I: PRINCIPIOS DEL PROYECTO ARQUITECTÓNICO
EGR011;ELECTIVA II
ARQA103;DIBUJO PROYECTUAL
INS010;ELECTIVA II
